real,pausality,lexical_density,readability,adjective_count
0,-0.9378,-1.0623,2.7187,-0.3104
0,-0.4438,-4.7396,0.9454,-0.6927
1,-0.3332,0.1634,-0.0957,-1.0750
1,0.2162,0.1634,0.8312,1.0277
1,-0.3885,0.1634,-0.2703,-0.3104
1,1.0421,0.1634,-1.8421,0.2631
0,-0.1672,0.1634,0.9723,0.0719
0,-0.7203,0.1634,0.3073,-0.6927
0,-0.1119,0.1634,1.3686,0.0719
0,-0.6097,0.1634,-0.2166,-0.8838
1,0.8762,0.1634,-0.7607,1.2188
0,-0.2778,-1.0623,-1.2107,0.2631
1,-0.0050,0.7763,1.0260,0.2631
0,1.1527,0.7763,0.5290,1.2188
0,-0.8825,0.1634,0.5693,-0.6927
1,-0.2225,0.1634,-0.4786,-0.6927
0,2.0339,0.7763,-0.6666,2.7480
0,0.3821,-0.4494,0.1192,-0.1192
1,-1.0484,-0.4494,0.6969,-0.8838
1,-0.0566,0.7763,-0.4853,-0.6927
0,2.0339,0.7763,-0.6666,2.7480
1,-0.0566,0.7763,-1.1570,0.4542
1,-0.2778,-1.0623,-1.2107,0.2631
0,0.2162,0.7763,-0.2636,-0.5015
1,-0.0050,0.7763,1.0260,0.2631
0,-0.0566,0.7763,0.1864,-0.1192
1,2.7492,0.7763,-0.9353,2.5569
1,-0.8272,-1.0623,0.1797,-0.5015
1,-0.6650,0.1634,-0.1763,-0.5015
1,-1.0484,-0.4494,0.6969,-0.8838
1,-0.8272,-1.0623,0.1797,-0.5015
0,-0.7203,-0.4494,-1.5130,-0.6927
0,-1.0484,-1.0623,-0.7338,-1.0750
1,-0.5544,0.1634,-0.9958,-0.3104
0,0.6587,0.7763,0.3946,-0.1192
1,-0.1119,0.7763,-0.7405,-0.8838
0,1.4293,0.7763,-0.2502,2.1746
0,1.1527,0.7763,0.5290,1.2188
0,-1.0484,-0.4494,0.0655,-0.6927
1,0.0503,-0.4494,-0.0688,0.4542
0,-1.3250,-1.0623,1.9798,-1.2662
1,0.0503,-2.2881,0.3812,0.0719
0,-0.4991,0.1634,-1.2376,-0.6927
0,1.0421,0.1634,-1.8421,0.2631
1,-0.2225,-0.4494,1.5970,0.2631
1,1.8680,0.7763,-0.6734,1.0277
0,3.4645,0.7763,-1.8555,2.1746
1,-0.2778,-1.0623,-1.2107,0.2631
0,0.5481,0.7763,0.6969,-0.1192
1,-0.8272,-0.4494,0.3207,-0.8838
0,0.3268,0.7763,0.6163,0.0719
0,-0.8272,-1.0623,0.1797,-0.5015
0,0.3268,0.7763,0.6163,0.0719
1,0.3821,-1.6752,0.0722,0.4542
1,0.1056,0.7763,-1.7682,0.0719
1,0.3821,-0.4494,0.1192,-0.1192
0,-0.4438,0.1634,1.3014,-0.6927
1,-0.8272,-1.0623,0.1797,-0.5015
0,-0.2225,0.7763,-1.1100,-0.3104
1,0.2715,0.1634,0.8850,-0.6927
0,-0.6650,0.1634,1.3014,-1.2662
0,-0.5544,-1.0623,-2.1309,-0.3104
0,-1.0484,-1.0623,-0.7338,-1.0750
1,0.2162,0.7763,-0.4584,1.2188
1,-0.2225,0.1634,-0.4786,-0.6927
0,-0.2778,0.1634,-1.6070,-0.3104
0,3.4092,-0.4494,0.0051,2.9392
0,3.9586,0.1634,-0.0957,3.8949
0,-0.4991,0.7763,-0.7741,0.2631
0,0.2715,0.1634,0.8850,-0.6927
0,-0.9378,0.1634,1.1872,-0.8838
1,-0.6650,0.1634,1.3014,-1.2662
0,-0.3332,0.7763,0.4215,-1.0750
0,1.1527,0.7763,0.5290,1.2188
0,0.3821,-0.4494,0.1192,-0.1192
0,-0.9378,0.1634,1.1872,-0.8838
0,-0.8272,-0.4494,0.3207,-0.8838
0,-0.3332,0.7763,-0.5995,-0.5015
1,-0.9378,-1.0623,2.7187,-0.3104
1,-0.6650,0.1634,1.3014,-1.2662
0,-0.7203,-0.4494,1.6977,0.0719
0,-0.0050,0.7763,1.0260,0.2631
0,-0.8825,0.1634,-1.3585,-1.0750
1,0.1609,-3.5139,1.1268,0.0719
0,0.6587,0.7763,0.3946,-0.1192
1,-0.6097,0.1634,-0.2166,-0.8838
0,0.4927,0.7763,-0.4114,-0.1192
0,0.3821,-1.6752,0.0722,0.4542
0,0.2715,0.1634,0.8850,-0.6927
1,-0.5544,0.7763,-0.5793,-0.1192
0,-0.0566,0.7763,-1.1570,0.4542
0,0.2162,0.1634,0.8312,1.0277
1,-0.2778,-1.0623,-1.2107,0.2631
0,1.4293,0.7763,-0.2502,2.1746
0,0.1609,0.7763,1.3149,0.2631
0,0.2162,0.7763,-0.2636,-0.5015
0,-0.7203,-0.4494,1.6977,0.0719
0,-0.7203,-0.4494,-0.3711,-0.5015
1,-0.6650,0.1634,1.3014,-1.2662
0,-0.0566,0.7763,-0.4853,-0.6927
1,-0.4991,0.7763,-0.7741,0.2631
1,-0.6650,0.1634,-0.1763,-0.5015
1,-0.2778,-0.4494,0.7641,-0.3104
0,-0.1119,0.7763,-0.7405,-0.8838
0,2.0339,0.7763,-0.6666,2.7480
0,0.2162,0.7763,-0.4584,1.2188
0,-0.1119,0.1634,-1.1234,0.2631
0,-0.8272,-0.4494,0.3207,-0.8838
1,-1.0484,-0.4494,0.6969,-0.8838
0,-0.2225,0.1634,-0.4786,-0.6927
